nFID, Class
1694, 1
1699, 1
1703, 1
1705, 1
1708, 1
1706, 1
1709, 1
1710, 1
1711, 1
1713, 1
1716, 1
1718, 1
1721, 1
1723, 1
1720, 1
1722, 1
1725, 1
1724, 1
1730, 1
1729, 1
1735, 1
1741, 1
1743, 1
1747, 1
1745, 1
1744, 1
1748, 1
1752, 1
1751, 1
1749, 1
1746, 1
1750, 1
1753, 1
1759, 1
1754, 1
1760, 1
1757, 1
1762, 1
1765, 1
1761, 1
1763, 1
1767, 1
1764, 1
1768, 1
1769, 1
1772, 1
1773, 1
1776, 1
1781, 1
1777, 1
1780, 1
1783, 1
1789, 1
1786, 1
1790, 1
1787, 1
1788, 1
1792, 1
1794, 1
1791, 1
1797, 1
1798, 1
1801, 1
1802, 1
1803, 1
1805, 1
1806, 1
1804, 1
1810, 1
1811, 1
1808, 1
1809, 1
1813, 1
1816, 1
1820, 1
1822, 1
1823, 1
1825, 1
1828, 1
1826, 1
1831, 1
1830, 1
1834, 1
1842, 1
1841, 1
1845, 1
1848, 1
1846, 1
1847, 1
1849, 1
1851, 1
1853, 1
1861, 1
1863, 1
1869, 1
1868, 1
1873, 1
1870, 1
1872, 1
1875, 1
1881, 1
1880, 1
1882, 1
1888, 1
1887, 1
1889, 1
1892, 1
1890, 1
1895, 1
1896, 1
1893, 1
1894, 1
1899, 1
1900, 1
1897, 1
1898, 1
1904, 1
1902, 1
1905, 1
11, 2
50, 2
305, 2
369, 2
600, 2
781, 2
832, 2
905, 2
918, 2
1064, 2
1287, 2
1375, 2
1443, 2
1499, 2
1728, 2
1860, 2
678, 3
881, 3
1043, 3
1879, 3
6, 4
3, 4
4, 4
7, 4
36, 4
48, 4
86, 4
93, 4
101, 4
100, 4
110, 4
119, 4
154, 4
166, 4
167, 4
168, 4
170, 4
171, 4
172, 4
177, 4
203, 4
202, 4
212, 4
225, 4
248, 4
263, 4
266, 4
278, 4
281, 4
286, 4
311, 4
346, 4
343, 4
371, 4
380, 4
399, 4
403, 4
406, 4
409, 4
410, 4
415, 4
441, 4
454, 4
463, 4
