nFID, Class
360, 3
380, 3
383, 3
396, 3
397, 3
399, 3
400, 3
403, 3
404, 3
405, 3
408, 3
409, 3
414, 3
415, 3
433, 3
441, 3
447, 3
454, 3
459, 3
460, 3
463, 3
484, 3
486, 3
490, 3
501, 3
502, 3
507, 3
519, 3
533, 3
534, 3
549, 3
550, 3
557, 3
566, 3
567, 3
568, 3
576, 3
579, 3
594, 3
595, 3
601, 3
604, 3
606, 3
607, 3
614, 3
626, 3
629, 3
633, 3
637, 3
642, 3
643, 3
646, 3
650, 3
651, 3
658, 3
662, 3
696, 3
697, 3
698, 3
712, 3
718, 3
724, 3
726, 3
783, 3
787, 3
797, 3
803, 3
810, 3
812, 3
813, 3
814, 3
815, 3
821, 3
822, 3
827, 3
826, 3
874, 3
876, 3
895, 3
908, 3
910, 3
928, 3
932, 3
945, 3
959, 3
961, 3
960, 3
977, 3
991, 3
1004, 3
1009, 3
1012, 3
1013, 3
1025, 3
1027, 3
1036, 3
1046, 3
1053, 3
1057, 3
1059, 3
1078, 3
1084, 3
1095, 3
1097, 3
1105, 3
1109, 3
1110, 3
1115, 3
1127, 3
1132, 3
1141, 3
1143, 3
1144, 3
1145, 3
1146, 3
1149, 3
1150, 3
1152, 3
1155, 3
1161, 3
1194, 3
1208, 3
1219, 3
1220, 3
1221, 3
1228, 3
1234, 3
1240, 3
1241, 3
1243, 3
1245, 3
1250, 3
1254, 3
1256, 3
1255, 3
1257, 3
1270, 3
1282, 3
1285, 3
1291, 3
1298, 3
1301, 3
1309, 3
1310, 3
1313, 3
1324, 3
1325, 3
1327, 3
1328, 3
1348, 3
1352, 3
1353, 3
1354, 3
1364, 3
1366, 3
1375, 3
1379, 3
1382, 3
1394, 3
1395, 3
1399, 3
1403, 3
1406, 3
1420, 3
1476, 3
1481, 3
1484, 3
1489, 3
1504, 3
1506, 3
1509, 3
1514, 3
1517, 3
1521, 3
1529, 3
1555, 3
1560, 3
1565, 3
1567, 3
1569, 3
1578, 3
1580, 3
1585, 3
1592, 3
1596, 3
1601, 3
1614, 3
1615, 3
1619, 3
1639, 3
1650, 3
1653, 3
1663, 3
1669, 3
1672, 3
1689, 3
1698, 3
1700, 3
1701, 3
1704, 3
1721, 3
1725, 3
1731, 3
1732, 3
1733, 3
1734, 3
1736, 3
1738, 3
1751, 3
1762, 3
1766, 3
1767, 3
1778, 3
1784, 3
1795, 3
1800, 3
1815, 3
1819, 3
