nFID, Class
3469, 0
3467, 0
3468, 0
3473, 0
3470, 0
3471, 0
3472, 0
3476, 0
3474, 0
3475, 0
3480, 0
3477, 0
3478, 0
3479, 0
3483, 0
3481, 0
3482, 0
3487, 0
3484, 0
3485, 0
3486, 0
3488, 0
3490, 0
3489, 0
3495, 0
3491, 0
3492, 0
3493, 0
3494, 0
3497, 0
3496, 0
3502, 0
3498, 0
3499, 0
3500, 0
3501, 0
3504, 0
3503, 0
3509, 0
3505, 0
3506, 0
3507, 0
3508, 0
3511, 0
3510, 0
3516, 0
3512, 0
3513, 0
3514, 0
3515, 0
3518, 0
3517, 0
3523, 0
3519, 0
3520, 0
3521, 0
3522, 0
3525, 0
3524, 0
3530, 0
3526, 0
3527, 0
3528, 0
3529, 0
3532, 0
3531, 0
3537, 0
3533, 0
3534, 0
3535, 0
3536, 0
3539, 0
3538, 0
3544, 0
3540, 0
3541, 0
3542, 0
3543, 0
3546, 0
3545, 0
3551, 0
3547, 0
3548, 0
3549, 0
3550, 0
3553, 0
3552, 0
3558, 0
3554, 0
3555, 0
3556, 0
3557, 0
3560, 0
3559, 0
3565, 0
3561, 0
3562, 0
3563, 0
3564, 0
3567, 0
3566, 0
3568, 0
3572, 0
3569, 0
3570, 0
3571, 0
3575, 0
3573, 0
3574, 0
3576, 0
3579, 0
3577, 0
3578, 0
3583, 0
3580, 0
3581, 0
3582, 0
3584, 0
3586, 0
3585, 0
3591, 0
3587, 0
3588, 0
3589, 0
3590, 0
3593, 0
3592, 0
3598, 0
3594, 0
3595, 0
3596, 0
3597, 0
3600, 0
3599, 0
3601, 0
3602, 0
3603, 0
3604, 0
3605, 0
3606, 0
3608, 0
3609, 0
3610, 0
3612, 0
3607, 0
3611, 0
3613, 0
3614, 0
3615, 0
3618, 0
3616, 0
3617, 0
3622, 0
3619, 0
3620, 0
3621, 0
3625, 0
3623, 0
3624, 0
3629, 0
3626, 0
3627, 0
3628, 0
3632, 0
3630, 0
3631, 0
3636, 0
3633, 0
3634, 0
3635, 0
3639, 0
3637, 0
3638, 0
3643, 0
3640, 0
3641, 0
3642, 0
3644, 0
3646, 0
3645, 0
3651, 0
3647, 0
3648, 0
3649, 0
3650, 0
3653, 0
3652, 0
3658, 0
3654, 0
3655, 0
3656, 0
3657, 0
3660, 0
3659, 0
3665, 0
3661, 0
3662, 0
3663, 0
3664, 0
3667, 0
3666, 0
3672, 0
3668, 0
3669, 0
3670, 0
3671, 0
3674, 0
3673, 0
3679, 0
3675, 0
3676, 0
3677, 0
3680, 0
3681, 0
3678, 0
3682, 0
3684, 0
3685, 0
3683, 0
3687, 0
3688, 0
3689, 0
3686, 0
3690, 0
3691, 0
3692, 0
3693, 0
3694, 0
3695, 0
3697, 0
3696, 0
3698, 0
3699, 0
3702, 0
3700, 0
3701, 0
3706, 0
3703, 0
3704, 0
3705, 0
3709, 0
3707, 0
3708, 0
3713, 0
3710, 0
3711, 0
3712, 0
3716, 0
3714, 0
3715, 0
3720, 0
3723, 0
3721, 0
3722, 0
3724, 0
3732, 0
3733, 0
3739, 0
3752, 0
3753, 0
3755, 0
3758, 0
3757, 0
3763, 0
3759, 0
3760, 0
3761, 0
3762, 0
3765, 0
3764, 0
3770, 0
3766, 0
3767, 0
3768, 0
3769, 0
3772, 0
3771, 0
3773, 0
3774, 0
3775, 0
3777, 0
3776, 0
3778, 0
